code	description	response
TRAINF	TRAIN, DERAILMENT WITH FIRE/HAZMAT	FIRE
TRAINR	TRAIN, REDUCED RESPONSE END OF TUNNEL	FIRE
TRANSF	TRANSFORMER	FIRE
TUNAID	TUNNEL, AID	AID
TUNF	TUNNEL, FIRE	FIRE
TUNMED	TUNNEL, MEDIC	MEDIC
TUNRES	TUNNEL, RESCUE	FIRE
VAULT	VAULT FIRE	FIRE
WATBT	BOAT TAKING ON WATER, MINOR - Y	FIRE
WATMI	WATER JOB, MINOR  - Y	FIRE
WATMJ	WATER JOB, MAJOR	FIRE
WATSH	BOAT TAKING ON WATER, MAJOR	FIRE
WIRES	WIRES DOWN	FIRE
